title,price,condition,year,trim,colour,transmission,drivetrain,fuel,kilometers,postal_code,date_posted,url
2016 Toyota RAV4 Hybrid XLE XLE|HYBRID|SUNROOF|BLIND SPOT|POW...,27499.,Used,2016,XLE,Silver,Automatic,All-wheel drive (AWD),Hybrid-Electric,"175,569",L9T 0K2,2022-06-22,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2016-toyota-rav4-hybrid-xle-xle-hybrid-sunroof-blind-spot-pow/m4109151
2018 Toyota RAV4 LE LE|HEATED SEATS|CAMERA|BLUETOOTH|TOUCH SC...,26487.,Used,2018,LE,White,Automatic,Front-wheel drive (FWD),Gasoline,"81,003",L9T 0K2,2022-06-27,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2018-toyota-rav4-le-le-heated-seats-camera-bluetooth-touch-sc/m4160036
 2018 Toyota RAV4 Limited,40723.,Used,2018,Limited,White,Automatic,All-wheel drive (AWD),Gasoline,"79,627",N1K 1E4,2022-02-08,https://www.kijiji.ca/v-cars-trucks/guelph/2018-toyota-rav4-limited/m3183986
 2020 Toyota RAV4 LE,31998.,Used,2020,LE,Grey,Automatic,Front-wheel drive (FWD),Other,"70,067",L8E 2W8,2022-07-18,https://www.kijiji.ca/v-cars-trucks/hamilton/2020-toyota-rav4-le/m4305792
2020 Toyota RAV4 XLE HEATED SEATS | SUNROOF | HEATED SEATS |...,39998.,Used,2020,XLE,Black,Automatic,All-wheel drive (AWD),Gasoline,"38,998",L3R 1G9,2022-07-22,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-toyota-rav4-xle-heated-seats-sunroof-heated-seats/m4359051
2015 Toyota RAV4 Limited/MINT/NAVI/SUNROOF/LEATHER/12 M WRTY+SAFETY,18990.,Used,2015,Limited/MINT/NAVI/SUNROOF/LEATHER/12 M WRTY+SAFETY,Red,Automatic,All-wheel drive (AWD),Gasoline,"196,300",K1B 3S1,2022-07-26,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-toyota-rav4-limited-mint-navi-sunroof-leather-12-m-wrty-safety/m4386975
2016 Toyota RAV4,27495.,Used,2016,SE AWD 4dr SE,White,,All-wheel drive (AWD),Gasoline,"124,669",K2E 1A3,2022-07-11,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-toyota-rav4/m4254892
2015 Toyota RAV4 4DR FWD LE,18995.,Used,2015,4DR FWD LE,Grey,Automatic,Front-wheel drive (FWD),Other,"105,026",L1V 3N7,2022-07-19,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2015-toyota-rav4-4dr-fwd-le/m4313343
 2019 Toyota RAV4 LE,32254.,Used,2019,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"57,001",N3T 5L8,2022-05-05,https://www.kijiji.ca/v-cars-trucks/brantford/2019-toyota-rav4-le/m3772407
2019 Toyota RAV4 LE,,Used,2019,LE,White,Automatic,All-wheel drive (AWD),Gasoline,"31,550", M9L1Y3,2022-04-26,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le/m3708643
2017 Toyota RAV4 LE One-Owner| No Accidents| Certified,26488.,Used,2017,LE,Red,Automatic,Front-wheel drive (FWD),Gasoline,"29,569",L3Y 5W2,2022-05-27,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2017-toyota-rav4-le-one-owner-no-accidents-certified/m3915612
2015 Toyota RAV4 Limited,19990.,Used,2015,Limited,Grey,Automatic,All-wheel drive (AWD),Gasoline,"181,000",K1B 3L8,2022-06-18,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-toyota-rav4-limited/m4079035
 2021 Toyota RAV4 Limited,44988.,Used,2021,Limited,White,Automatic,All-wheel drive (AWD),Gasoline,"35,360",L9B 1K2,2022-06-10,https://www.kijiji.ca/v-cars-trucks/hamilton/2021-toyota-rav4-limited/m4017101
 2018 Toyota RAV4 AWD LE with Backup Camera & Remote Start,23998.,Used,2018,AWD LE with Backup Camera & Remote Start,Red,Automatic,All-wheel drive (AWD),Other,"168,045",K1L 6A9,2022-03-26,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-le-with-backup-camera-remote-start/m3494023
 2018 Toyota RAV4 LE,23888.,Used,2018,LE,Grey,Automatic,Front-wheel drive (FWD),Gasoline,"124,902",L9B 1K2,2022-05-19,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-le/m3859757
 2015 Toyota RAV4 LE,23998.,Used,2015,LE,Red,Automatic,Front-wheel drive (FWD),Gasoline,"65,220",K1B 5P5,2022-06-25,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-toyota-rav4-le/m4148804
 2014 Toyota RAV4 XLE,19998.,Used,2014,XLE,Other,Automatic,All-wheel drive (AWD),Gasoline,"162,200",K1B 5P5,2022-07-15,https://www.kijiji.ca/v-cars-trucks/ottawa/2014-toyota-rav4-xle/m4281847
2021 Toyota RAV4 XLE,43495.,Used,2021,XLE,Grey,Automatic,All-wheel drive (AWD),Gasoline,"36,183",P7B 6M9,2022-07-16,https://www.kijiji.ca/v-cars-trucks/thunder-bay/2021-toyota-rav4-xle/m4294538
2020 Toyota RAV4 LE,39995.,Used,2020,LE,Black,Automatic,All-wheel drive (AWD),Gasoline,"23,997",P7B 6M9,2022-07-17,https://www.kijiji.ca/v-cars-trucks/thunder-bay/2020-toyota-rav4-le/m4303702
2019 Toyota RAV4 Limited,42497.,Used,2019,Limited,Black,Automatic,All-wheel drive (AWD),Other,"22,510",K0A 1W0,2022-07-07,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-toyota-rav4-limited/m4223666
 2019 Toyota RAV4 LE,29600.,Used,2019,LE,White,Automatic,All-wheel drive (AWD),Gasoline,"119,518",N2L 5Z6,2022-05-06,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2019-toyota-rav4-le/m3781712
Wanted: Toyota RAV4 (2006 - 2013) Wanted ,4000.,Used,2007,,,,,,"450,000", L7B1G9,2022-07-26,https://www.kijiji.ca/v-cars-trucks/markham-york-region/toyota-rav4-2006-2013-wanted/1622872033
2016 Toyota RAV 4 XLE,21000.,Used,2016,XLE,White,Automatic,,Gasoline,"145,000","L6G, CA",2022-07-26,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2016-toyota-rav-4-xle/m4386622
Toyota Rav4,26000.,Used,2018,,White,,All-wheel drive (AWD),,"120,000", M5V1J9,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/toyota-rav4/1626642223
2020 Toyota RAV4 XLE HEATED STEERING WHEEL! HEATED SEATS!,35995.,Used,2020,XLE,Red,Automatic,Front-wheel drive (FWD),Gasoline,"31,545",P6B 5K7,2022-06-25,https://www.kijiji.ca/v-cars-trucks/sault-ste-marie/2020-toyota-rav4-xle-heated-steering-wheel-heated-seats/m4149826
2019 Toyota RAV4 LE | AWD | LOW KM | BACKUP CAM | BLUETOOTH,33999.,Used,2019,LE | AWD | LOW KM | BACKUP CAM | BLUETOOTH,Black,Automatic,All-wheel drive (AWD),Gasoline,"60,072",N3H 0A1,2022-01-18,https://www.kijiji.ca/v-cars-trucks/cambridge/2019-toyota-rav4-le-awd-low-km-backup-cam-bluetooth/m3055142
2020 Toyota RAV4 XLE,41559.,Used,2020,XLE,Other,Automatic,All-wheel drive (AWD),Gasoline,"44,752",K2G 1E3,2022-04-04,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-xle/m3568855
2019 Toyota RAV4 LE,30694.,Used,2019,LE,Other,Automatic,All-wheel drive (AWD),Gasoline,"64,915",P6B 0B8,2022-04-04,https://www.kijiji.ca/v-cars-trucks/sault-ste-marie/2019-toyota-rav4-le/m3565310
 2015 Toyota RAV4 XLE,21988.,Used,2015,XLE,Black,Automatic,Front-wheel drive (FWD),Gasoline,"123,844",L1N 2K6,2022-07-13,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2015-toyota-rav4-xle/m4267702
2018 Toyota RAV4 Limited LIMITED AWD ONE OWNER SAFETY SENSE,33599.,Used,2018,Limited,Black,Automatic,All-wheel drive (AWD),Gasoline,"96,441",L9Y 0A5,2022-06-26,https://www.kijiji.ca/v-cars-trucks/barrie/2018-toyota-rav4-limited-limited-awd-one-owner-safety-sense/m4155687
2018 Toyota RAV4 XLE AWD,29988.,Used,2018,XLE AWD,Red,Automatic,All-wheel drive (AWD),Gasoline,"106,078",J8M 1Y7,2022-06-14,https://www.kijiji.ca/v-cars-trucks/gatineau/2018-toyota-rav4-xle-awd/m4044329
2019 Toyota RAV4 LE | LOW KM | AWD | BACKUP CAM | BLUETOOTH,33495.,Used,2019,LE | LOW KM | AWD | BACKUP CAM | BLUETOOTH |,Other,Automatic,All-wheel drive (AWD),Gasoline,"62,930",N3H 0A1,2022-01-06,https://www.kijiji.ca/v-cars-trucks/cambridge/2019-toyota-rav4-le-low-km-awd-backup-cam-bluetooth/m2990452
2019 Toyota RAV4 LE,32700.,Used,2019,LE,Grey,Automatic,All-wheel drive (AWD),Gasoline,"100,455",N8R 1A1,2022-06-08,https://www.kijiji.ca/v-cars-trucks/windsor-area-on/2019-toyota-rav4-le/m4005262
2016 Toyota RAV4 SE,26995.,Used,2016,SE,Orange,Automatic,All-wheel drive (AWD),Gasoline,"69,562",K6A 3T6,2022-07-19,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-toyota-rav4-se/m4315871
2018 Toyota RAV4 AWD LE,31900.,Used,2018,AWD LE,Other,Automatic,Other,Gasoline,"76,620",M8Z 1S4,2022-03-04,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-awd-le/m3350865
2017 Toyota RAV4 XLE BLUETOOTH | REVERSE CAMERA | HEATED SEATS,27288.,Used,2017,XLE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"92,983",L3R 1G9,2022-06-27,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2017-toyota-rav4-xle-bluetooth-reverse-camera-heated-seats/m4160711
2018 Toyota RAV4 LE BLUETOOTH | REVERSE CAMERA | HEATED SEATS,26588.,Used,2018,LE,White,Automatic,Front-wheel drive (FWD),Gasoline,"51,148",L3R 1G9,2022-07-08,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-le-bluetooth-reverse-camera-heated-seats/m4235561
 2020 Toyota RAV4 LE,34405.,Used,2020,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"73,773",N3T 5L8,2022-05-05,https://www.kijiji.ca/v-cars-trucks/brantford/2020-toyota-rav4-le/m3772283
2007 Toyota RAV4 AWD 4 cylinder automatic - low km’s,11500.,Used,2007,4 cylinder,Silver,Automatic,All-wheel drive (AWD),Gasoline,"140,000", ON L8V,2022-07-26,https://www.kijiji.ca/v-cars-trucks/hamilton/2007-toyota-rav4-awd-4-cylinder-automatic-low-km-s/1619117549
2013 Toyota RAV4,17450.,Used,2013,Other,Silver,Automatic,Front-wheel drive (FWD),Gasoline,"177,511",M1L 1C3,2022-06-04,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2013-toyota-rav4/m3980650
"2019 Toyota RAV4 XLE W/ CarPlay, Toyota Safety Sense, Moonroof",36990.,Used,2019,"XLE W/ CarPlay, Toyota Safety Sense, Moonroof",Black,,All-wheel drive (AWD),Other,"40,393", M8Z5S8,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-toyota-rav4-xle-w-carplay-toyota-safety-sense-moonroof/m4383222
"2018 Toyota RAV4 SE SE AWD with Leather Seats, Navigation, an...",31088.,Used,2018,SE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"120,125",L6L 6L4,2022-06-26,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2018-toyota-rav4-se-se-awd-with-leather-seats-navigation-an/m4155346
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/gatineau/2017-toyota-rav4-limited/m3848466
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2013-toyota-rav4-le/1626568635
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-toyota-rav4-limited/m3514321
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2017-toyota-rav4-xle-xle-one-owner-no-accidents-dealer-se/m4193971
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2017-toyota-rav4-limited-awd-navigation-sunroof-leather-top-of-line/m4375427
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/hamilton/2019-toyota-rav4-le/m3772203
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-le/m3772230
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2017-toyota-rav4-xle-xle-awd-with-one-owner/m4385353
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/gatineau/2019-toyota-rav4-xle/m3944387
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/hamilton/2017-toyota-rav4-le/m3222447
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-toyota-rav4-le/m4094566
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-le-allpwropti-htdseats-camera-ldw-warranty/m3916868
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2021-toyota-rav4-xle/m4384035
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/guelph/2019-toyota-rav4-le-revers-camera-heated-seats/m4043723
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/gatineau/2019-toyota-rav4-limitee-awd/m3715073
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2019-toyota-rav4-le/m4153739
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/london/2018-toyota-rav4-se-w-nav-backup-camera-toyota-safety-sense/m4381642
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/brantford/2021-rav4-prime-se/1626604768
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/hamilton/2019-toyota-rav4-xle/m3964909
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2014-toyota-rav4-limited/m4094557
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/stratford-on/2020-toyota-rav4-xle-awd-premium/m3714631
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/guelph/2018-toyota-rav4-le-awd-reverse-camera-heated-seats/m3755284
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/guelph/2018-toyota-rav4-le-awd-reverse-camera-heated-seats-more/m3994255
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2020-toyota-rav4-xle-all-wheel-drive-one-owner-no-accident/m4165747
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2017-toyota-rav4-le-le-awd-heated-front-seats-bluetooth-a/m3916302
2018 Toyota RAV4 4DR FWD LE,24995.,Used,2018,4DR FWD LE,Red,Automatic,Front-wheel drive (FWD),Other,"98,562",L1V 3N7,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4-4dr-fwd-le/m4384009
2013 Toyota RAV4 Limited,18995.,Used,2013,Limited,Grey,Automatic,All-wheel drive (AWD),Gasoline,"175,000",N1R 3H3,2022-06-24,https://www.kijiji.ca/v-cars-trucks/cambridge/2013-toyota-rav4-limited/m4140607
2019 Toyota RAV4 LE | AWD | LOW KM | BACKUP CAM | BLUETOOTH,33999.,Used,2019,LE | AWD | LOW KM | BACKUP CAM | BLUETOOTH,Black,Automatic,All-wheel drive (AWD),Gasoline,"60,072",N3H 0A1,2022-01-18,https://www.kijiji.ca/v-cars-trucks/cambridge/2019-toyota-rav4-le-awd-low-km-backup-cam-bluetooth/m3055142
 2017 Toyota RAV4 LE AUT0 A/C H/SEATS L/DEPARTURE BACKUP CAMERA,21990.,Used,2017,LE AUT0 A/C H/SEATS L/DEPARTURE BACKUP CAMERA,Grey,Automatic,Front-wheel drive (FWD),Gasoline,"136,771",M3J 2G4,2022-06-20,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2017-toyota-rav4-le-aut0-a-c-h-seats-l-departure-backup-camera/m4087901
2018 Toyota RAV4 XLE,31959.,Used,2018,XLE,Blue,Automatic,Front-wheel drive (FWD),Gasoline,"51,637",K2G 1E3,2022-06-16,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-xle/m4056875
2018 Toyota RAV4 LE,31959.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"61,686",K2G 1E3,2022-06-16,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-le/m4056865
 2020 Toyota RAV4 LE,38495.,Used,2020,LE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"10,908",N0A 1E0,2022-07-05,https://www.kijiji.ca/v-cars-trucks/hamilton/2020-toyota-rav4-le/m4204597
"2018 Toyota RAV4 Hybrid LE AWD, Heated Seats, New Tires",36988.,Used,2018,"Hybrid LE AWD, Heated Seats, New Tires & Brakes, Radar Cruise, Bluetooth, Rear Camera, & More!",Grey,Automatic,All-wheel drive (AWD),Hybrid-Electric,"64,000",N1H 6J4,2022-05-31,https://www.kijiji.ca/v-cars-trucks/guelph/2018-toyota-rav4-hybrid-le-awd-heated-seats-new-tires/m3942152
"2021 Toyota RAV4 XLE W/ CarPlay, Toyota Safety Sense, Moonroof",43990.,Used,2021,"XLE W/ CarPlay, Toyota Safety Sense, Moonroof",Red,Automatic,All-wheel drive (AWD),Other,"3,770", M8Z5S8,2022-05-31,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2021-toyota-rav4-xle-w-carplay-toyota-safety-sense-moonroof/m3941224
 2021 Toyota RAV4 Limited,47995.,Used,2021,Limited,Blue,Automatic,All-wheel drive (AWD),Gasoline,"6,073",N0A 1E0,2022-06-02,https://www.kijiji.ca/v-cars-trucks/hamilton/2021-toyota-rav4-limited/m3964893
2019 Toyota RAV4 LE | AWD | LOW KM | BACKUP CAM | BLUETOOTH,33999.,Used,2019,LE | AWD | LOW KM | BACKUP CAM | BLUETOOTH,Black,Automatic,All-wheel drive (AWD),Gasoline,"60,072",N3H 0A1,2022-01-18,https://www.kijiji.ca/v-cars-trucks/cambridge/2019-toyota-rav4-le-awd-low-km-backup-cam-bluetooth/m3055142
 2019 Toyota RAV4 LE,41263.,Used,2019,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"40,807",N1K 1E4,2022-02-08,https://www.kijiji.ca/v-cars-trucks/guelph/2019-toyota-rav4-le/m3183955
Toyata RAV 4 2006 model ,6500.,Used,2006,,Blue,,,,272, Canada,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/toyata-rav-4-2006-model/1626543784
2019 Toyota RAV4 LE NO ACCIDENTS | AWD | WINTER & SUMMER TIRE...,34787.,Used,2019,LE,Red,Manual,All-wheel drive (AWD),Gasoline,"66,983",P1H 1X9,2022-05-27,https://www.kijiji.ca/v-cars-trucks/muskoka/2019-toyota-rav4-le-no-accidents-awd-winter-summer-tire/m3913149
 2010 Toyota RAV4 4x4 *Excellent Condition/Runs &amp; Drives Like New*,11995.,Used,2010,4x4 *Excellent Condition/Runs & Drives Like New*,Black,Automatic,4 x 4,Gasoline,"201,000",L8K 1G1,2022-07-26,https://www.kijiji.ca/v-cars-trucks/hamilton/2010-toyota-rav4-4x4-excellent-condition-runs-amp-drives-like-new/m4382691
"2015 Toyota RAV4 Limited W/ Limited Tech Package, Nav, JBL Sound System",26990.,Used,2015,"Limited W/ Limited Tech Package, Nav, JBL Sound System",White,Automatic,All-wheel drive (AWD),Other,"69,121", M8Z5S8,2022-07-19,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2015-toyota-rav4-limited-w-limited-tech-package-nav-jbl-sound-system/m4311452
2019 Toyota RAV4 XLE XLE | AWD | ALLOY WHEELS | HEATED STEERI...,34250.,Used,2019,XLE,Black,Automatic,All-wheel drive (AWD),Gasoline,"149,731",L4K 0A1,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-toyota-rav4-xle-xle-awd-alloy-wheels-heated-steeri/m4382684
2019 Toyota RAV4 XLE XLE | AWD | CERTIFIED,36888.,Used,2019,XLE,Red,Automatic,All-wheel drive (AWD),Gasoline,"39,941",L4K 0A1,2022-06-07,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-toyota-rav4-xle-xle-awd-certified/m3993163
2019 Toyota RAV4 Limited AWD Navi 360 Camera Leather Sunroof,42980.,Used,2019,Limited AWD Navi 360 Camera Leather  Sunroof,Other,Automatic,4 x 4,Other,"43,809",J8P 1G2,2022-04-27,https://www.kijiji.ca/v-cars-trucks/gatineau/2019-toyota-rav4-limited-awd-navi-360-camera-leather-sunroof/m3710922
2014 Toyota RAV4 Limited AWD,21277.,Used,2014,Limited AWD,White,Automatic,All-wheel drive (AWD),Gasoline,"138,298",M1M 1R5,2022-06-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2014-toyota-rav4-limited-awd/m4152369
Toyota Rav4,9000.,Used,2007,,White,Automatic,All-wheel drive (AWD),Gasoline,"180,000", Canada,2022-07-26,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/toyota-rav4/1626553185
2012 Toyota RAV4 CLEAN CARFAX| 2 OWNER| BLUETOOTH| 4 CYL| EXT...,13999.,Used,2012,Other,Black,Automatic,4 x 4,Gasoline,"180,000",L5C 1T8,2022-04-27,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2012-toyota-rav4-clean-carfax-2-owner-bluetooth-4-cyl-ext/m3710257
